Unicode,BytesÊ(UTF-8),Description
U+1F601,\xF0\x9F\x98\x81,grinning face with smiling eyes
U+1F602,\xF0\x9F\x98\x82,face with tears of joy
U+1F603,\xF0\x9F\x98\x83,smiling face with open mouth
U+1F604,\xF0\x9F\x98\x84,smiling face with open mouth and smiling eyes
U+1F605,\xF0\x9F\x98\x85,smiling face with open mouth and cold sweat
U+1F606,\xF0\x9F\x98\x86,smiling face with open mouth and tightly-closed eyes
U+1F609,\xF0\x9F\x98\x89,winking face
U+1F60A,\xF0\x9F\x98\x8A,smiling face with smiling eyes
U+1F60B,\xF0\x9F\x98\x8B,face savouring delicious food
U+1F60C,\xF0\x9F\x98\x8C,relieved face
U+1F60D,\xF0\x9F\x98\x8D,smiling face with heart-shaped eyes
U+1F60F,\xF0\x9F\x98\x8F,smirking face
U+1F612,\xF0\x9F\x98\x92,unamused face
U+1F613,\xF0\x9F\x98\x93,face with cold sweat
U+1F614,\xF0\x9F\x98\x94,pensive face
U+1F616,\xF0\x9F\x98\x96,confounded face
U+1F618,\xF0\x9F\x98\x98,face throwing a kiss
U+1F61A,\xF0\x9F\x98\x9A,kissing face with closed eyes
U+1F61C,\xF0\x9F\x98\x9C,face with stuck-out tongue and winking eye
U+1F61D,\xF0\x9F\x98\x9D,face with stuck-out tongue and tightly-closed eyes
U+1F61E,\xF0\x9F\x98\x9E,disappointed face
U+1F620,\xF0\x9F\x98\xA0,angry face
U+1F621,\xF0\x9F\x98\xA1,pouting face
U+1F622,\xF0\x9F\x98\xA2,crying face
U+1F623,\xF0\x9F\x98\xA3,persevering face
U+1F624,\xF0\x9F\x98\xA4,face with look of triumph
U+1F625,\xF0\x9F\x98\xA5,disappointed but relieved face
U+1F628,\xF0\x9F\x98\xA8,fearful face
U+1F629,\xF0\x9F\x98\xA9,weary face
U+1F62A,\xF0\x9F\x98\xAA,sleepy face
U+1F62B,\xF0\x9F\x98\xAB,tired face
U+1F62D,\xF0\x9F\x98\xAD,loudly crying face
U+1F630,\xF0\x9F\x98\xB0,face with open mouth and cold sweat
U+1F631,\xF0\x9F\x98\xB1,face screaming in fear
U+1F632,\xF0\x9F\x98\xB2,astonished face
U+1F633,\xF0\x9F\x98\xB3,flushed face
U+1F635,\xF0\x9F\x98\xB5,dizzy face
U+1F637,\xF0\x9F\x98\xB7,face with medical mask
U+1F638,\xF0\x9F\x98\xB8,grinning cat face with smiling eyes
U+1F639,\xF0\x9F\x98\xB9,cat face with tears of joy
U+1F63A,\xF0\x9F\x98\xBA,smiling cat face with open mouth
U+1F63B,\xF0\x9F\x98\xBB,smiling cat face with heart-shaped eyes
U+1F63C,\xF0\x9F\x98\xBC,cat face with wry smile
U+1F63D,\xF0\x9F\x98\xBD,kissing cat face with closed eyes
U+1F63E,\xF0\x9F\x98\xBE,pouting cat face
U+1F63F,\xF0\x9F\x98\xBF,crying cat face
U+1F640,\xF0\x9F\x99\x80,weary cat face
U+1F645,\xF0\x9F\x99\x85,face with no good gesture
U+1F646,\xF0\x9F\x99\x86,face with ok gesture
U+1F647,\xF0\x9F\x99\x87,person bowing deeply
U+1F648,\xF0\x9F\x99\x88,see-no-evil monkey
U+1F649,\xF0\x9F\x99\x89,hear-no-evil monkey
U+1F64A,\xF0\x9F\x99\x8A,speak-no-evil monkey
U+1F64B,\xF0\x9F\x99\x8B,happy person raising one hand
U+1F64C,\xF0\x9F\x99\x8C,person raising both hands in celebration
U+1F64D,\xF0\x9F\x99\x8D,person frowning
U+1F64E,\xF0\x9F\x99\x8E,person with pouting face
U+1F64F,\xF0\x9F\x99\x8F,person with folded hands
U+2702,\xE2\x9C\x82,black scissors
U+2705,\xE2\x9C\x85,white heavy check mark
U+2708,\xE2\x9C\x88,airplane
U+2709,\xE2\x9C\x89,envelope
U+270A,\xE2\x9C\x8A,raised fist
U+270B,\xE2\x9C\x8B,raised hand
U+270C,\xE2\x9C\x8C,victory hand
U+270F,\xE2\x9C\x8F,pencil
U+2712,\xE2\x9C\x92,black nib
U+2714,\xE2\x9C\x94,heavy check mark
U+2716,\xE2\x9C\x96,heavy multiplication x
U+2728,\xE2\x9C\xA8,sparkles
U+2733,\xE2\x9C\xB3,eight spoked asterisk
U+2734,\xE2\x9C\xB4,eight pointed black star
U+2744,\xE2\x9D\x84,snowflake
U+2747,\xE2\x9D\x87,sparkle
U+274C,\xE2\x9D\x8C,cross mark
U+274E,\xE2\x9D\x8E,negative squared cross mark
U+2753,\xE2\x9D\x93,black question mark ornament
U+2754,\xE2\x9D\x94,white question mark ornament
U+2755,\xE2\x9D\x95,white exclamation mark ornament
U+2757,\xE2\x9D\x97,heavy exclamation mark symbol
U+2764,\xE2\x9D\xA4,heavy black heart
U+2795,\xE2\x9E\x95,heavy plus sign
U+2796,\xE2\x9E\x96,heavy minus sign
U+2797,\xE2\x9E\x97,heavy division sign
U+27A1,\xE2\x9E\xA1,black rightwards arrow
U+27B0,\xE2\x9E\xB0,curly loop
U+1F680,\xF0\x9F\x9A\x80,rocket
U+1F683,\xF0\x9F\x9A\x83,railway car
U+1F684,\xF0\x9F\x9A\x84,high-speed train
U+1F685,\xF0\x9F\x9A\x85,high-speed train with bullet nose
U+1F687,\xF0\x9F\x9A\x87,metro
U+1F689,\xF0\x9F\x9A\x89,station
U+1F68C,\xF0\x9F\x9A\x8C,bus
U+1F68F,\xF0\x9F\x9A\x8F,bus stop
U+1F691,\xF0\x9F\x9A\x91,ambulance
